course,platform,last accessed time,completion ratio,author
GIMP Crash Course for Beginners!,udemy,50,2022-06-30T00:08:29Z,Chris Parker
Apache NiFi Complete Master Course - HDP - Automation ETL,udemy,85,2022-06-16T14:36:09Z,MUTHUKUMAR Subramanian
Become a Seller on Flipkart & Amazon,udemy,100,2022-06-08T14:22:32Z,MKCL India
GST Returns with Basics,udemy,43,2022-01-22T06:40:40Z,Prince Hasija
The Data Science Course 2022: Complete Data Science Bootcamp,udemy,100,2022-01-22T04:06:26Z,365 Careers
Amazon FBA University,udemy,24,2022-01-12T03:18:56Z,Greg Mercer
"How to Prepare, Read and Analyse a Company Balance Sheet",udemy,90,2022-01-11T00:47:01Z,The Duomo Initiative
Implementing Microsoft Azure Marketplace Tools & Resources,pluralsight,100,2022-06-08T00:05:51.218+00:00,Sahil Malik
Introduction to AWS Marketplace,pluralsight,100,2022-06-07T15:39:24.112+00:00,AWS
AWS Marketplace Overview,pluralsight,100,2022-06-07T15:32:15.7+00:00,AWS
"Building, Deploying, and Monitoring Your First Apache NiFi Dataflow",pluralsight,100,2022-06-07T02:33:47.554+00:00,Patrick Pichler
Microsoft Azure Services and Concepts,pluralsight,100,2022-05-09T00:51:04.079+00:00,Neil Morrissey
Microsoft Azure Cloud Concepts,pluralsight,100,2022-05-03T00:53:17.578+00:00,Vlad Catrinescu
Workshop: Getting Started with AG Grid,pluralsight,100,2022-04-26T04:17:34.279+00:00,ng-conf
Workshop: Learn NgRx Part 1,pluralsight,100,2022-04-21T01:32:55.115+00:00,ng-conf
Introduction to Amazon Elastic MapReduce (EMR),pluralsight,100,2022-04-18T17:34:22.046+00:00,AWS
Machine Learning in the Cloud with AWS Batch,pluralsight,100,2022-04-17T19:56:10.682+00:00,AWS
Introduction to Amazon WorkDocs,pluralsight,100,2022-04-17T18:59:46.911+00:00,AWS
AWS Mobile Service Overview,pluralsight,100,2022-04-17T18:54:38.683+00:00,AWS
Introduction to Amazon Macie,pluralsight,100,2022-04-17T18:42:42.236+00:00,AWS
Understanding CIDR Notation,pluralsight,100,2022-04-17T16:03:03.114+00:00,AWS
Modern Web Layout with Flexbox and CSS Grid,pluralsight,100,2022-04-14T07:39:51.106+00:00,Brian Treese
Using WebAssembly to Build Fast & Secure Web Apps,pluralsight,100,2022-04-11T11:27:51.458+00:00,ng-conf
Introduction to AWS CodeBuild,pluralsight,100,2022-04-06T00:01:10.342+00:00,AWS
Workshop: Angular & Talwind,pluralsight,100,2022-03-30T22:14:57.75+00:00,ng-conf
Tailwind: The Future of CSS Is Here!,pluralsight,100,2022-03-30T21:43:18.751+00:00,ng-conf
Data Visualization Best Practices,pluralsight,100,2022-03-22T23:28:31.812+00:00,Big Data LDN
Build Your First Data Visualization with Infogram,pluralsight,100,2022-03-22T22:43:23.936+00:00,Emilee McWilliams
Terraform - Getting Started,pluralsight,100,2022-03-19T09:29:49.612+00:00,Ned Bellavance
Serverless Event-based Application Architecture,pluralsight,100,2022-03-13T16:51:37.69+00:00,David Tucker
Data: Executive Briefing,pluralsight,100,2022-03-03T11:51:37.626+00:00,Simon Allardice
Architecting ASP.NET Core 3 Applications: Best Practices,pluralsight,100,2022-01-09T23:01:13.084+00:00,Gill Cleeren
Managing Access and Secrets in HashiCorp Vault,pluralsight,47.88570106,2022-06-30T23:58:27.353+00:00,George Smith
C# 10: The Big Picture,pluralsight,71.30600214,2022-06-18T15:02:36.733+00:00,Mike Woodring
Building Pipelines for Workflow Orchestration Using Google Composer,pluralsight,66.9885993,2022-06-01T01:12:02.678+00:00,Vitthal Srinivasan
Productionalizing Data Pipelines with Apache Airflow 1,pluralsight,87.26879954,2022-05-24T15:40:13.374+00:00,Axel Sirota
